county,AAA,ADA,AHA,Acr,DTW,DTWt,DTWc,VDTW,Qav,IrAp,NAg,STp,STc,VSTc,WD,DND,PPT,K,Sy,R2,Slope,I,Qred
SW,57.9707,1076.5983,1656.305,0.055356891,129.2319491,-1.582084002,-85.5327846,25.52332719,0.263024151,1.429292046,0.107,362.6596812,277.1268966,10402.75174,0.336291,0.045931397,0.485545362,82.51599928,0.068819599,0.69,-3.5,0.3143,27.85463398
SV,18.8368,1224.3927,1883.6811,0.05550032,148.6443806,-2.45190336,-129.5780547,22.60300924,0.222880623,1.377414753,0.065,404.8861053,275.3080506,9514.868121,0.355156,0.015975969,0.454878175,27.43382713,0.073070576,0.76,-5.1,0.2745,34.61732941
ME,113.9964,1773.2772,2482.588,0.033338354,102.7533502,-1.701681445,-66.7139754,31.97415884,0.171446034,1.424921907,0.074,266.2120347,199.4980593,8557.741979,0.240008,0.112911949,0.523436138,39.78079275,0.045175,0.83,-4.4,0.3182,26.73540563
MT,56.7,1228.5005,1890.0007,0.040244368,86.86944587,-0.621441798,-39.09709512,35.36303968,0.192118073,1.191283766,0.103,133.450946,94.35385088,8032.550923,0.130159,0.07363466,0.421586166,71.13702758,0.081562146,0.37,-2.1,0.2762,23.93349053
KW,18.7164,1871.6376,1684.4738,0.028316912,44.73964291,-0.517578455,-7.49713888,0.817521558,0.199697391,1.226250476,0.083,90.02325588,82.526117,1949.536235,0.216388,0.085194085,0.640812925,76.53379701,0.060437413,0.64,-3,0.3233,13.50090711
HS,0.1496,1495.7768,1495.7768,0.057818596,156.1612997,-2.169385032,-175.8213506,22.5432157,0.238219823,1.169040962,0.048,332.5782938,156.7569432,1661.414195,0.524811,0.009208694,0.473282282,80.06209381,0.035378125,0.45,-5.9,0.2373,33.40324823
GT,14.8873,1488.732,1488.732,0.056755935,134.2915337,-2.274223141,-180.3330379,14.98405833,0.26309876,1.285050995,0.099,305.8932874,125.5602495,2997.734267,0.322422,0.107172316,0.439434033,54.1199302,0.028935831,0.49,-6.9,0.2899,25.98616787
ST,0,1762.1065,1762.1065,0.059329244,122.5503864,-1.297269678,-124.9694807,40.36428612,0.201120695,1.162716812,0.057,171.0305061,46.06102545,2065.905976,0.218488,0.08933952,0.414563418,55.32099302,0.029275831,0.5,-3.5,0.2371,33.09745488
PR,19.0378,1903.7795,1903.7795,0.02694933,39.83942238,-0.461820638,-5.0160146,1.018249624,0.179714991,1.122499067,0.115,140.9152362,135.8992216,903.3830893,0.354558,0.061754867,0.68093165,45.89302214,0.053045063,0.52,-4.1,0.3171,7.318022781
FO,256.0067,2844.5193,2787.6289,0.021289862,63.0461553,-0.577815696,-22.57337938,4.6254248,0.118385163,1.104819168,0.167,74.01711753,51.44373815,1504.749875,0.220424,0.124153111,0.561315661,48.13135099,0.049316126,0.89,-4.9,0.3061,9.101405718
GY,180.0299,2250.3733,2250.3733,0.026976354,73.63942004,-1.751986984,-89.67083223,13.72929769,0.159360268,1.176575107,0.091,164.4285705,74.75773827,2983.188947,0.467034,0.057560955,0.509203784,41.204752,0.044735171,0.79,-6.2,0.2742,23.54025741
ED,161.0695,1610.6951,1610.6951,0.031108419,28.06120269,-0.511424033,-16.5108012,1.875716597,0.21578778,1.140316007,0,119.7389485,103.2281473,2994.126483,0.487988,0.109065342,0.620148439,76.53379701,0.060437413,0.71,-6.7,0.3284,5.514978769
RN,650.2713,0,2861.1937,0.013177362,26.5722675,-0.392779284,-3.84300473,0.131726623,0.093550694,0.997922098,0.459,89.85683727,86.01383254,3314.220467,0.181155,0.09371605,0.727411216,31.68441448,0.04412708,0.63,-4.9,0.2857,6.071229583
SF,164.1128,1025.7048,2051.4095,0.023819476,27.57413505,-0.594635575,-3.7637763,0.512473123,0.16851977,1.134196379,0.123,133.6916064,129.9278301,1108.070089,0.337329,0.085634298,0.65953375,31.78841448,0.04512708,0.77,-6.8,0.3235,6.422580193
FI,269.7682,3372.1023,2529.0767,0.018020116,91.48022375,-2.400812597,-101.6971982,9.039966191,0.121786442,1.347363322,0.13,201.9514864,100.2542882,4939.105834,0.40924,0.051577763,0.450695437,39.1217646,0.053344893,0.8,-7.8,0.3205,21.95800732
KE,157.8289,2254.6986,2254.6986,0.027116743,73.93725403,-1.64505415,-70.64492733,5.345074877,0.201248534,1.488696809,0.048,152.9013497,82.25642237,6367.548505,0.272764,0.064190939,0.447237714,30.27276577,0.03714027,0.75,-14,0.4214,7.130456345
HM,129.048,2580.9609,2580.9609,0.025224304,32.60063566,-0.134116539,-45.4220436,71.34805376,0.161468368,1.367268842,0.111,77.37312204,31.95107844,881.9711273,0.072454,0.052554113,0.412682622,15.64797804,0.020273486,0.41,-1.9,0.3947,5.289474395
PN,312.5653,1953.5334,1465.1501,0.024620597,26.71109514,-0.181569762,-13.05072219,1.652178554,0.153258846,0.982271245,0.091,97.33607918,84.28535699,1357.399685,0.327611,0.174529524,0.621843359,76.53379701,0.060437413,0.65,-8.4,0.2976,0.599965714
RC,376.1923,1128.577,1222.625,0.023635903,21.36942515,-0.401403737,-5.39886681,6.038236605,0.15492253,0.956047669,0.231,77.32355768,71.92469087,1866.73597,0.111645,0.13594734,0.717860928,31.78841448,0.04512708,0.65,-5.5,0.2727,6.418365226
BT,463.8172,2295.8951,1275.4973,0.018019712,21.82820918,-0.310080457,-2.9196616,1.742040189,0.131124575,0.997667866,0.487,104.3349959,101.4153343,1664.176033,0.149628,0.011307722,0.671631064,18.63774333,0.050583459,0.84,-6.3,0.2857,6.047294036
