county,FIPS,R2,slope,I,Qred,pumping,chng,Qav,precip
SW,20175,0.69,3.5,0.3143,27.85463398,0.000263024,-1.582084002,0.263024,0.485545362
SV,20189,0.76,5.1,0.2745,34.61732941,0.000222881,-2.45190336,0.222881,0.454878175
ME,20119,0.83,4.4,0.3182,26.73540563,0.000171446,-1.701681445,0.171446,0.523436138
MT,20129,0.37,2.1,0.2762,23.93349053,0.000192118,-0.621441798,0.192118,0.421586166
KW,20097,0.64,3,0.3233,13.50090711,0.000199697,-0.517578455,0.199697,0.640812925
HS,20081,0.45,5.9,0.2373,33.40324823,0.00023822,-2.169385032,0.23822,0.473282282
GT,20067,0.49,6.9,0.2899,25.98616787,0.000263099,-2.274223141,0.263099,0.439434033
ST,20187,0.5,3.5,0.2371,33.09745488,0.000201121,-1.297269678,0.201121,0.414563418
PR,20151,0.52,4.1,0.3171,7.318022781,0.000179715,-0.461820638,0.179715,0.68093165
FO,20057,0.89,4.9,0.3061,9.101405718,0.000118385,-0.577815696,0.118385,0.561315661
GY,20069,0.79,6.2,0.2742,23.54025741,0.00015936,-1.751986984,0.15936,0.509203784
ED,20047,0.71,6.7,0.3284,5.514978769,0.000215788,-0.511424033,0.215788,0.620148439
RN,20155,0.63,4.9,0.2857,6.071229583,9.36E-05,-0.392779284,0.0936,0.727411216
SF,20185,0.77,6.8,0.3235,6.422580193,0.00016852,-0.594635575,0.16852,0.65953375
FI,20055,0.8,7.8,0.3205,21.95800732,0.000121786,-2.400812597,0.121786,0.450695437
KE,20093,0.75,14,0.4214,7.130456345,0.000201249,-1.64505415,0.201249,0.447237714
HM,20075,0.41,1.9,0.3947,5.289474395,0.000161468,-0.134116539,0.161468,0.412682622
PN,20145,0.65,8.4,0.2976,0.599965714,0.000153259,-0.181569762,0.153259,0.621843359
RC,20159,0.65,5.5,0.2727,6.418365226,0.000154923,-0.401403737,0.154923,0.717860928
BT,20009,0.84,6.3,0.2857,6.047294036,0.000131125,-0.310080457,0.131125,0.671631064
